id,english_common_name,flower_count,flower_ids,botanical_names,mothers_names
001,African daisy,1,423,Gerbera jamesonii H. Bolus ex Hook. f.,Frankness
002,African iris,1,514,Dietes iridioides (L.) Klatt. [D. vegeta Auct.],Aristocracy of beauty
003,African marigold,2,398; 402,Tagetes erecta L.,Mental plasticity; Supramentalised plasticity
004,African violet,1,738,Saintpaulia ionantha H. Wendl.,Correct movement
005,Air plant,1,861,Kalanchoe pinnata (Lam.) Pers.,Light in fairyland
006,Alexandrian laurel,1,805,Calophyllum inophyllum L.,Peace in the physical
007,Alpine violet,1,858,Cyclamen purpurascens Mill.,Scented marvel
008,Amaryllis,9,483; 484; 485; 486; 487; 488; 489; 490; 491,Hippeastrum Herb. spp.,Conversion; Conversion of the mind; Conversion of the physical mind; Conversion of the emotional being; Conversion of the vital; Conversion of the physical; Integral conversion; Integral conversion with the help of the psychic; Total conversion
009,Angel's trumpet,1,195,Brugmansia suaveolens (Humb. & Bonpl. ex Wild) Bercht. & Presl.,Perfect tapasya
010,Annatto,1,047,Bixa orellana L.,New world
011,Annual phlox,2,259; 263,Phlox drummondii Hook.,Physical skill in work; Radiating skill in work
012,Arabian jasmine,1,080,Canna indica L.,Supramental friendship with the divine
013,Areca nut palm,1,785,Areca catechu L.,Steadfast-vitality
014,Asoka,1,333,Saraca indica L.,Without grief
015,Aubergine,1,409,Solanum melongena L.,Fearlessness in the vital
016,Australian bottle plant,1,835,Jatropha podagarica Hook.,First response of the subconscient to the supramental action
017,Australian chestnut,1,690,Castanospermum australe A. Cunn. & C. Fraser.,Mind of light acting in matter
018,Australian gum,1,203,Eucalyptus L'Herit. spp.,Abolition of the ego
019,Awl tree,1,817,Morinda citrifolia L. non Bedd.,Peace in the sex centre
020,Azalea,1,513,Rhododendron L. spp.,Abundance of beauty
021,Aztec marigold,2,398; 402,Tagetes erecta L.,Mental plasticity; Supramentalised plasticity
022,Baby orchid,1,068,Epidendrum XObrienianum Rolfe.,Attachment of the cells to the divine
023,Baby's breath,1,519,Gypsophila elegans Bieb.,Modesty of beauty
024,Bachelor's button,4,505; 507; 508; 509,Gomphrena globosa L.,Immortality; Conscious vital immortality; Integral immortality; Supramental immortality
025,Barbados lily,9,483; 484; 485; 486; 487; 488; 489; 490; 491,Hippeastrum Herb. spp.,Conversion; Conversion of the mind; Conversion of the physical mind; Conversion of the emotional being; Conversion of the vital; Conversion of the physical; Integral conversion; Integral conversion with the help of the psychic; Total conversion
026,Barbados pride,1,716,Caesalpinia pulcherrima (L.) Sw.,Fire in the mind
027,Barberton daisy,1,423,Gerbera jamesonii H. Bolus ex Hook. f.,Frankness
028,Beauty of the night,3,018; 019; 021,Mirabilis jalapa L.,Solace; Solace in the mind; Integral solace
029,Begonia,8,341; 342; 343; 344; 345; 346; 347; 348,Begonia L. spp.,Balance; Perfect balance; Psychic balance; Perfect psychic balance; Mental balance; Perfect mental balance; Integral balance; Perfect integral balance
030,Bejuco de ajo,1,771,Mansoa alliacea (Lam.) A. Gentry. [Pseudocalymna alliaceum (Lam.) Sandw.],Collective emotions open to the divine
031,Betel palm,1,785,Areca catechu L.,Steadfast-vitality
032,Betel-nut-palm,1,785,Areca catechu L.,Steadfast-vitality
033,Big marigold,1,402,Tagetes erecta L.,Supramentalised plasticity
034,Bird of paradise,1,643,Strelitzia reginae Banks ex Dryand.,Supramental bird
035,Bird's-eye bush,1,796,Ochna kirkii Oliv.,Greed for money
036,Bitterwood,1,875,Quassia amara L.,Splendour and opulence in material life
037,Black bean,1,690,Castanospermum australe A. Cunn. & C. Fraser.,Mind of light acting in matter
038,Black wattle,1,247,Acacia auriculiformis Cunn. ex Benth.,Work
039,Black-eyed Susan vine,1,477,Thunbergia alata Bojer.,Obscurity offers itself to be transformed
040,Blade apple,1,424,Pereskia Mill. sp.,Never tell a lie
041,Blanket flower,1,052,Gaillardia pulchella Foug. cv. Lorenziana,Successful future under the supramental influence
042,Bleeding heart,1,163,Dicentra spectabilis (L.) Lem.,Emotional remembrance
043,Blood flower,2,687; 688,Asclepias curassavica L.,Response of the mind to the supramental light; Response of the physical mind to the supramental light
044,Blood lily,1,637,Scadoxus multiflorus (Martyn) Raf. [Haemanthns multiflorus Martyn.],Supramental manifestation
045,Blue pea,1,889,Clitoria ternatea L.,Krishna's light in the senses
046,Blue potato bush,1,158,Lycianthes rantonnei Carr. [Solanum rantonnetii Carr. ex Lescuy.],Remembrance
047,Blue sage,1,679,Eranthemum pulchellum Andr.,Aspiration for silence in the physical
