id,fragrance,flowering_season,bloom_time,plant_type,primary_color
001,,,,Aquatic,White
002,,,,Aquatic,Pink
003,,,,Herb,White
004,,,,Herb,White
005,,,,Shrub,White
006,,,,Vine / Climber,Purple
007,,,,Shrub / Small Tree,Orange
008,,,,Shrub / Small Tree,Orange
009,,,,Shrub / Small Tree,Golden Yellow
010,,,,Shrub / Small Tree,White
011,,,,Small Tree,Rose
012,,,,Vine / Climber,Yellow
013,,,,Tree,White
014,,,,Succulent,Rose
015,,,,Shrub,Red
016,,,,Shrub,Red
017,,,,Shrub,Pink
018,,,,Herb,Yellow
019,,,,Herb,Yellow
020,,,,Herb,Magenta
021,,,,Herb,White
022,,,,Herb,Pink
023,,,,Herb,Purple
024,,,,Vine / Climber,Rose
025,,,,Vine / Climber,Magenta
026,,,,Vine / Climber,Pink
027,,,,Vine / Climber,Pink
028,,,,Vine / Climber,Magenta
029,,,,Vine / Climber,Lavender
030,,,,Vine / Climber,Red
031,,,,Vine / Climber,Orange
032,,,,Vine / Climber,White
033,,,,Vine / Climber,Magenta
034,,,,Vine / Climber,Orange
035,,,,Epiphyte,White
036,,,,Shrub,White
037,,,,Shrub,Golden Yellow
038,,,,Shrub,Orange
039,,,,Herb,Golden Yellow
040,,,,Herb,Yellow
041a,,,,Herb,Golden Yellow
041b,,,,Herb,Maroon
042a,,,,Herb,Yellow
042b,,,,Herb,Maroon
043,,,,Herb,Maroon
044,,,,Herb,White
045,,,,Herb,White
046,,,,Small Tree,Yellow
047,,,,Shrub / Small Tree,Pink
048,,,,Herb,White
049,,,,Herb,White
050,,,,Shrub / Small Tree,Golden Yellow
051,,,,Herb,Orange
052,,,,Herb,Orange
053,,,,Herb,White
054,,,,Vine / Climber,White
055,,,,Small Tree,Blue Violet
056,,,,Shrub,White
057,,,,Herb,Orange
058,,,,Epiphyte,Pink
059,,,,Epiphyte,Orange
060,,,,Epiphyte,White
061,,,,Epiphyte,Pink
062,,,,Epiphyte,Yellow
063,,,,Epiphyte,Rose
064,,,,Epiphyte,Lavender
065,,,,Epiphyte,Yellow
066,,,,Herb,Pink
067,,,,Herb,White
068,,,,Epiphyte,Red
069,,,,Herb,Green
070,,,,Vine / Climber,Green
071,,,,Herb,Purple
072,,,,Herb,Purple
073,,,,Herb,Yellow
074,,,,Herb,White
075,,,,Herb,White
076,,,,Herb,Magenta
077,,,,Herb,White
078,,,,Herb,Orange
079,,,,Herb,Orange
080,,,,Herb,Golden Yellow
081,,,,Shrub / Small Tree,Pink
082,,,,Shrub / Small Tree,Pink
083,,,,Shrub / Small Tree,Magenta
084,,,,Shrub / Small Tree,Red
085,,,,Shrub / Small Tree,Pink
086,,,,Tree,Magenta
087,,,,Shrub,Rose
088,,,,Shrub,White
089,,,,Shrub,Rose
090,,,,Shrub,Orange
091,,,,Shrub,White
092,,,,Shrub,Pink
093,,,,Shrub,Mauve
094,,,,Shrub,Green
095,,,,Shrub,Rose
096,,,,Shrub,Red
097,,,,Shrub,Rose
098,,,,Shrub,White
099,,,,Shrub,Rose
100,,,,Shrub,Golden Yellow
101,,,,Shrub,Golden Yellow
102,,,,Shrub,Golden Yellow
103,,,,Shrub,Red
104,,,,Shrub,Rose
105,,,,Shrub,Orange
106,,,,Shrub,Pink
107,,,,Shrub,Orange
108,,,,Shrub,Rose
109,,,,Shrub,Rose
110,,,,Herb,Green
111,,,,Shrub / Small Tree,White
112,,,,Vine / Climber,Purple
113,,,,Grass / Grass-like,Orange
114,,,,Shrub,White
115,,,,Herb,White
116,,,,Herb,Orange
117,,,,Herb,Violet
118,,,,Small Tree,White
119,,,,Herb,Pink
120,,,,Tree,Golden Yellow
121,,,,Herb,White
122,,,,Shrub,White
123,,,,Vine / Climber,Mauve
124,,,,Shrub / Small Tree,White
125,,,,Vine / Climber,White
126,,,,Shrub,Pink
127,,,,Shrub,Yellow
128,,,,Shrub,Red
129,,,,Shrub,Orange
130,,,,Herb,Pink
131,,,,Herb,Pink
132,,,,Herb,Yellow
133,,,,Herb,Pink
134,,,,Herb,White
135,,,,Herb,Yellow
136,,,,Small Tree,White
137,,,,Herb,White
138,,,,Small Tree,Orange
139,,,,Small Tree,Green
140,,,,Herb,Mauve
141,,,,Herb,White
142,,,,Herb,White
143,,,,Herb,Rose
144,,,,Vine / Climber,Lavender
145,,,,Herb,Magenta
146,,,,Herb,Purple
147,,,,Herb,Rose
148,,,,Herb,Rose
149,,,,Herb,Red
150,,,,Herb,White
151,,,,Herb,Magenta
152,,,,Herb,Magenta
153,,,,Herb,Magenta
154,,,,Herb,Pink
155,,,,Herb,White
156,,,,Vine / Climber,White
157,,,,Vine / Climber,White
158,,,,Shrub,Purple
159,,,,Vine / Climber,White
160,,,,Herb,Magenta
161,,,,Herb,Pink
162,,,,Herb,Lavender
163,,,,Herb,Pink
164,,,,Herb,Blue
165,,,,Shrub,Lavender
166,,,,Shrub,Yellow
167,,,,Shrub,Lavender
168,,,,Shrub,Magenta
169,,,,Shrub,Lavender
170,,,,Shrub,White
171,,,,Shrub,Lavender
172,,,,Shrub,Purple
173,,,,Shrub,Lavender
174,,,,Shrub,Purple
175,,,,Shrub,White
176,,,,Herb,Pink
177,,,,Herb,Pink
178,,,,Herb,Pink
179,,,,Herb,Yellow
180,,,,Herb,Pink
181a,,,,Herb,Purple
181b,,,,Herb,Red
182,,,,Herb,Red
183,,,,Herb,White
184,,,,Herb,Orange
185,,,,Herb,Orange
186,,,,Herb,Red
187,,,,Herb,White
188,,,,Herb,Purple
189,,,,Herb,Orange
190,,,,Succulent,Red
191,,,,Herb,White
192,,,,Herb,Golden Yellow
193,,,,Herb,Purple
194,,,,Herb,Yellow
195,,,,Shrub / Small Tree,White
196,,,,Vine / Climber,Lavender
197,,,,Tree,White
198,,,,Herb,White
199,,,,Herb,Purple
200,,,,Herb,White
201,,,,Shrub / Small Tree,White
202,,,,Vine / Climber,Yellow
203,,,,Tree,Yellow
204,,,,Shrub / Small Tree,Yellow
205,,,,Small Tree,White
206,,,,Herb,Orange
207,,,,Herb,Orange
208,,,,Herb,White
209,,,,Shrub,Pink
210,,,,Shrub / Small Tree,White
211,,,,Shrub / Small Tree,White
212,,,,Herb,Yellow
213,,,,Herb,Pink
214,,,,Herb,Pink
215,,,,Herb,Magenta
216,,,,Herb,Pink
217,,,,Herb,Lavender
218,,,,Herb,Maroon
219,,,,Herb,White
220,,,,Herb,Red
221,,,,Shrub,Green
222,,,,Shrub,Red
223,,,,Shrub,Red
224,,,,Shrub,Red
225,,,,Shrub,Red
226,,,,Herb,Magenta
227,,,,Herb,Magenta
228,,,,Herb,Orange
229,,,,Herb,Green
230,,,,Herb,Rose
231,,,,Herb,White
232,,,,Herb,Golden Yellow
233,,,,Herb,Rose
234,,,,Herb,Yellow
235,,,,Herb,Rose
236,,,,Herb,Rose
237,,,,Herb,Red
238,,,,Herb,White
239,,,,Herb,White
240,,,,Herb,Golden Yellow
241,,,,Shrub,Purple
242,,,,Herb,Orange
243,,,,Herb,Yellow
244,,,,Tree,White
245,,,,Tree,Orange
246,,,,Tree,Golden Yellow
247,,,,Tree,Yellow
248,,,,Herb,Orange
249,,,,Herb,Red
250,,,,Herb,White
251,,,,Herb,White
252,,,,Vine / Climber,Red
253,,,,Shrub,Orange
254,,,,Herb,Pink
255,,,,Herb,Pink
256,,,,Herb,Golden Yellow
257,,,,Herb,White
258,,,,Herb,Purple
259,,,,Herb,Magenta
