Category,Flower ID,Botanical Name,Common / Edible Crop Name,Official Mother's Significance
Vegetable,409,Solanum melongena L.,Brinjal / Eggplant / Baingan,Fearlessness in the vital
Vegetable,405,Solanum melongena L. var. insanvm,Wild Brinjal / Jangli Baingan,Vital courage
Vegetable,691,Luffa acutangula (L.) Roxb.,Ridge Gourd / Turai,Kind mind
Vegetable,336,Momordica charantia L.,Bitter Gourd / Karela,Sweetness
Vegetable,854,Cucurbita maxima Duchesne,Pumpkin / Kaddu,Abundance
Vegetable,797,Capsicum annuum L.,Chilli Pepper / Mirch,A whipping
Vegetable,825,Moringa oleifera Lam.,Drumstick / Moringa / Sahjan,Hygienic organisation
Vegetable,406,Amaranthus tricolor L.,Chinese Spinach / Chowlai,Bravery
Vegetable,334,Lathyrus odoratus L.,Sweet Pea / Field Pea,Gentleness
Vegetable,369,Phaseolus vulgaris L. / Clerodendrum,Garden Bean / Sem,Aspiration for right attitude
Spice / Herb,534,Coriandrum sativum L.,Coriander / Dhaniya,Delicacy
Spice / Herb,807,Foeniculum vulgare Mill.,Fennel / Saunf,Light in the blood
Spice / Herb,355,Sesamum indicum L.,Sesame / Til,Conciliation
Spice / Herb,140,Ocimum tenuiflorum L.,Holy Basil / Tulsi,Devotion
Spice / Herb,141,Ocimum americanum L.,Black Holy Basil / Kali Tulsi,Conquering fervour
Spice / Herb,142,Ocimum basilicum L.,Sweet Basil / Sabja,Joy of union with the divine
Spice / Herb,208,Ocimum basilicum L.,Common Basil / Marua,Discipline
Spice / Herb,275,Cymbopogon citratus Stapf,Lemongrass / Ganjni,Help
Spice / Herb,003,Zingiber / Hedychium coronarium,Ginger / Adrak,Sachchidananda
Spice / Herb,436,Alpinia zerumbet,Shell Ginger / Pink Porcelain Lily,Eloquence
Spice / Herb,462,Costus speciosus,Wild Ginger,Revelation
Spice / Herb,319,Curcuma zedoaria,Zedoary / Amba Haldi,Peace
Spice / Herb,124,Capparis brevispina DC.,Caper Bush / Kanthari,Triple aspiration
Spice / Herb,684,Crataeva adansonii DC.,Caper Tree / Varun,Work of enlightened mind
Spice / Herb,111,Coffea L.,Coffee Blossom / Kafi,Perfect path
Spice / Herb,874,Bacopa monnieri (L.) Wettst.,Brahmi / Water Hyssop,Material enterprises
Spice / Herb,892,Tinospora cordifolia Miers,Giloy / Guduchi,Krishna's influence in subconscient
Spice / Herb,511,Asparagus racemosus Willd.,Shatavari / Wild Asparagus,Spiritual power of healing
Spice / Herb,884,Clitoria ternatea L.,Butterfly Pea / Aparajita,Radical power
Fruit / Citrus,204,Citrus limon (L.) Burm. f.,Lemon / Nimbu,Chastity
Fruit / Citrus,205,Citrus maxima (Burm.) Merrill,Pummelo / Shaddock / Chakotra,Continence
Fruit / Citrus,006,Vitis vinifera L.,Grape Vine / Angoor,Divine ananda
Fruit / Citrus,007,Punica granatum L.,Pomegranate / Anar,Divine love
Fruit / Citrus,008,Punica granatum L.,Red Pomegranate / Lal Anar,Divine sacrifice
Fruit / Citrus,009,Punica granatum L.,Pomegranate Blossom,Divine love spreading over world
Fruit / Citrus,846,Mangifera indica L.,Mango Blossom / Aam ka Maur,Nature's hope for realisation
Fruit / Citrus,847,Mangifera indica L.,Mango / Aam,Divine knowledge
Fruit / Citrus,855,Cocos nucifera L.,Coconut Palm / Nariyal,Multitude
Fruit / Citrus,211,Psidium guajava L.,Guava / Amrood,Steadfastness
Fruit / Citrus,450,Syzygium jambos (L.) Alston,Rose Apple / Jamun / Jambu,Mastery
Fruit / Citrus,272,Averrhoa carambola L.,Star Fruit / Carambola / Kamrakh,Organised team-work
Fruit / Citrus,788,Carica papaya L.,Papaya / Papita,Vital impulses
Fruit / Citrus,139,Aegle marmelos (L.) Correa,Bael / Bilva,Devotional attitude
Fruit / Citrus,201,Atalantia monophylla Correa,Country Gooseberry / Wild Lemon,Absence of desire
Fruit / Citrus,644,Terminalia catappa L.,Tropical Almond / Indian Badam,Spiritual aspiration
Fruit / Citrus,785,Areca catechu L.,Betel Nut Palm / Supari,Steadfast-vitality
Fruit / Citrus,245,Mimusops elengi L.,Spanish Cherry / Bakul,Accomplishment
Fruit / Citrus,880,Ficus religiosa L.,Sacred Fig / Peepal,Ether
Fruit / Citrus,881,Ficus benghalensis L.,Banyan Tree / Bargad,Air
Fruit / Citrus,885,Ficus racemosa L.,Cluster Fig / Gular,Radha's consciousness in vital
Fruit / Citrus,886,Madhuca longifolia Macbr.,Mahua Tree,Krishna's light in overmind
Fruit / Citrus,887,Terminalia arjuna Wight & Arn.,Arjun Tree,Krishna's light in mind
Fruit / Citrus,888,Garcinia indica Choisy,Kokum / Wild Mangosteen,Krishna's light in physical mind
Fruit / Citrus,890,Tamarindus indica L.,Tamarind / Imli,Krishna's light in vital
Fruit / Citrus,877,Phyllanthus emblica L.,Indian Gooseberry / Amla,Silver
