flower_id,mother_name,Hindi Primary Name,Hindi Primary Transliteration,Hindi Alternate Name 1,Hindi Alternate Name 1 Transliteration,Telugu Primary Name,Telugu Primary Transliteration,Telugu Alternate Name 1,Telugu Alternate Name 1 Transliteration,Tamil Primary Name,Tamil Primary Transliteration,Tamil Alternate Name 1,Tamil Alternate Name 1 Transliteration,Kannada Primary Name,Kannada Primary Transliteration,Kannada Alternate Name 1,Kannada Alternate Name 1 Transliteration,Malayalam Primary Name,Malayalam Primary Transliteration,Malayalam Alternate Name 1,Malayalam Alternate Name 1 Transliteration,Marathi Primary Name,Marathi Primary Transliteration,Marathi Alternate Name 1,Marathi Alternate Name 1 Transliteration,Gujarati Primary Name,Gujarati Primary Transliteration,Gujarati Alternate Name 1,Gujarati Alternate Name 1 Transliteration,Bengali Primary Name,Bengali Primary Transliteration,Bengali Alternate Name 1,Bengali Alternate Name 1 Transliteration,Odia Primary Name,Odia Primary Transliteration,Odia Alternate Name 1,Odia Alternate Name 1 Transliteration,botanical_name,english_common_name,french_common_name
001,Aditi - the divine consciousness,कमल,Kamal,सफ़ेद कमल,Safed Kamal,తామర,Tamara,తెల్ల తామర,Tella Tamara,தாமரை,Thamarai,வெண் தாமரை,Ven Thamarai,ತಾವರೆ,Thavare,ಬೆಳ್ಳಾವರೆ,Bellavare,താമര,Thamara,ചെന്താമര,Chenthamara,कमळ,Kamal,पांढरे कमळ,Pandhre Kamal,કમળ,Kamal,સફેદ કમળ,Safed Kamal,পদ্ম,Padma,সাদা পদ্ম,Shada Padma,ପଦ୍ମ,Padma,ଧଳା ପଦ୍ମ,Dhala Padma,Nelumbo nucifera Gaertn. 'Alba',Sacred lotus; East Indian lotus,Lotus sacré; Lotus des Indes
002,Avatar - the supreme manifest on earth in a body,लाल कमल,Lal Kamal,कमल,Kamal,ఎర్ర తామర,Erra Tamara,తామర,Tamara,செந்தாமரை,Chenthamarai,தாமரை,Thamarai,ಕೆಂಪು ತಾವರೆ,Kempu Thavare,ತಾವರೆ,Thavare,ചെന്താമര,Chenthamara,താമര,Thamara,लाल कमळ,Lal Kamal,कमळ,Kamal,લાલ કમળ,Lal Kamal,કમળ,Kamal,রক্তপদ্ম,Raktapadma,পদ্ম,Padma,ରକ୍ତ ପଦ୍ମ,Rakta Padma,ପଦ୍ମ,Padma,Nelumbo nucifera Gaertn.,Red lotus; Pink lotus; Sacred lotus,Lotus rouge; Lotus sacré
140,Devotion,तुलसी,Tulsi,वृन्दा,Vrinda,తులసి,Tulasi,కృష్ణ తులసి,Krishna Tulasi,துளசி,Thulasi,கருந்துளசி,Karunthulasi,ತುಳಸಿ,Tulasi,ಶ್ರೀ ತುಳಸಿ,Sri Tulasi,തുളസി,Thulasi,കൃഷ്ണതുളസി,Krishnathulasi,तुळशी,Tulshi,कृष्ण तुळशी,Krishna Tulshi,તુલસી,Tulsi,કૃષ્ણ તુલસી,Krishna Tulsi,তুলসী,Tulsi,কৃষ্ণ তুলসী,Krishna Tulsi,ତୁଳସୀ,Tulasi,କୃଷ୍ଣ ତୁଳସୀ,Krishna Tulasi,Ocimum tenuiflorum L. [0. sanctum L.],Holy basil; Sacred basil; Tulsi,Basilic sacré; Tulsi
610,Dynamic power,गुड़हल,Gurhal,जबा,Jaba,మందారము,Mandaramu,దాసాని,Dasani,செம்பருத்தி,Sembaruthi,சிவப்பு செம்பருத்தி,Sivappu Sembaruthi,ದಾಸವಾಳ,Dasavala,ಕೆಂಪು ದಾಸವಾಳ,Kempu Dasavala,ചെമ്പരത്തി,Chemparathi,ചുവന്ന ചെമ്പരത്തി,Chuvanna Chemparathi,जास्वंद,Jaswand,लाल जास्वंद,Lal Jaswand,જાસૂદ,Jasud,લાલ જાસૂદ,Lal Jasud,জবা,Jaba,রক্ত জবা,Rakta Jaba,ମନ୍ଦାର,Mandara,ନାଲି ମନ୍ଦାର,Nali Mandara,Hibiscus rosa-sinensis L.,Chinese hibiscus; Tropical hibiscus; Red hibiscus,Rose de Chine; Hibiscus
302,Purity,मोगरा,Mogra,चमेली,Chameli,మల్లె,Malle,జాజి,Jaji,மல்லிகை,Malligai,சாதிமல்லி,Jathimalli,ಮಲ್ಲಿಗೆ,Mallige,ಇರುವಂತಿಗೆ,Irvantige,മുല്ല,Mulla,പിച്ചകം,Pichakam,मोगरा,Mogra,बटमोगरा,Batmogra,મોગરો,Mogro,ચમેલી,Chameli,বেলী,Beli,জুঁই,Jui,ମଲ୍ଲୀ,Malli,ଜୁହି,Juhi,Jasminum L. spp.,Jasmine,Jasmin d'Arabie; Jasmin
333,Without grief,अशोक,Ashok,सीता अशोक,Sita Ashok,అశోక,Asoka,సీతా అశోక,Sita Asoka,அசோகம்,Asogam,சீதா அசோகம்,Sita Asogam,ಅಶೋಕ,Ashoka,ಅಸೋಗ,Asoga,അശോകം,Asokam,സീതാ അശോകം,Sita Asokam,अशोक,Ashok,सीता अशोक,Sita Ashok,અશોક,Ashok,સીતા અશોક,Sita Ashok,অশোক,Asok,সীতা অশোক,Sita Asok,ଅଶୋକ,Asoka,ସୀତା ଅଶୋକ,Sita Asoka,Saraca indica L.,Asoka; Sorrowless tree,Arbre d'Ashoka; Saraca
118,Aspiration,हरसिंगार,Harsingar,पारिजात,Parijat,పారిజాతము,Parijatamu,కల్పవృక్షము,Kalpavrikshamu,பவளமல்லி,Pavalamalli,பாரிஜாதம்,Parijatham,ಪಾರಿಜಾತ,Parijata,ಹರಸಿಂಗಾರ,Harsingara,പവഴമല്ലി,Pavazhamalli,പാരിജാതം,Parijatham,पारिजात,Parijat,प्राजक्त,Prajakt,પારીજાત,Parijat,હરસિંગાર,Harsingar,শিউলি,Shiuli,પારিজাত,Parijat,ଗଙ୍ଗଶିଉଳି,Ganga Shiuli,ପାରିଜାତ,Parijata,Nyctanthes arbor-tristis L.,Night-flowering jasmine; Coral jasmine,Jasmin de nuit; Arbre triste
013,Divine smile,चंपा,Champa,सफ़ेद चंपा,Safed Champa,సంపంగి,Sampangi,తెల్ల సంపంగి,Tella Sampangi,செண்பகம்,Shenbagam,வெள்ளை செண்பகம்,Vellai Shenbagam,ಸಂಪಿಗೆ,Sampige,ಬಿಳಿ ಸಂಪಿಗೆ,Bili Sampige,ചെമ്പകം,Chempakam,വെള്ളച്ചെമ്പകം,Vellachempakam,सोनचाफा,Sonchafa,चाफा,Chafa,પીળો ચામ્પો,Pilo Champo,ચામ્પો,Champo,স্বর্ণচাঁপা,Swarnachampa,চাঁপা,Champa,ସ୍ୱର୍ଣ୍ଣଚମ୍ପା,Swarnachampa,ଚମ୍ପା,Champa,Michelia alba DeCondolle.,Fragrant champaca,Champac; Michelia
641,Supramental sun,कदंब,Kadamb,कदम,Kadam,కదంబము,Kadambamu,కదంబ,Kadamba,கடம்பு,Kadambu,வெண்கடம்பு,Ven Kadambu,ಕದಂಬ,Kadamba,ಕದಂಬ ಮರ,Kadamba Mara,കടമ്പ്,Kadambu,മരക്കടമ്പ്,Marakkadambu,कळंब,Kalamb,कदंब,Kadamb,કદંબ,Kadamb,કદંબ વૃક્ષ,Kadamb Vriksh,কদম,Kadam,কদম ফুল,Kadam Phool,କଦମ୍ବ,Kadamba,କଦମ୍ବ ଫୁଲ,Kadamba Phula,Anthocephalus cadamba (Roxb.) Miq.,Kadam; Burflower-tree,Kadamba; Arbre de Kadam
139,Devotional attitude,बेल,Bel,बिल्व,Bilva,మారేడు,Maredu,బిల్వము,Bilvamu,வில்வம்,Vilvam,கூவளம்,Koovalam,ಬಿಲ್ವ,Bilva,ಬೇಲ,Beala,കൂവളം,Koovalam,കൂവളമരം,Koovalamaram,बेल,Bel,बिल्व,Bilva,બીલી,Bili,બિલ્વ,Bilva,বেল,Bel,বিল্ব,Bilva,ବେଳ,Bela,ବିଲ୍ୱ,Bilva,Aegle marmelos (L.) Correa,Bael; Bengal quince,Bael; Cognassier du Bengale
